 n,  t_is,  t_ss,  t_ms,   t_hs
 1, 0.0001, 0.0015, 0.0001, 0.0002
 2, 0.0007, 0.0058, 0.0001, 0.0004
 3, 0.0016, 0.0127, 0.0001, 0.0006
 4, 0.0024, 0.0218, 0.0003, 0.0008
 5, 0.0036, 0.0339, 0.0004, 0.0008
 6, 0.0051, 0.0482, 0.0005, 0.0011
 7,  0.007, 0.0662, 0.0005, 0.0014
 8,  0.009, 0.0862, 0.0009, 0.0014
 9, 0.0116,  0.108, 0.0009, 0.0018
10,  0.014, 0.1316, 0.0009, 0.0017
11, 0.0172, 0.1578, 0.0009, 0.0021
12, 0.0201, 0.1878, 0.0012, 0.0021
13, 0.0238, 0.2191,  0.001, 0.0025
14, 0.0275, 0.2543, 0.0013, 0.0027
15, 0.0316, 0.2917, 0.0015, 0.0029
